"Year","Period","State","State ANSI","Data Item","Domain","Value","Chemical","Chemical_Code"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.031,"CYFLUFENAMID "," 555550"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.591,"CYPRODINIL "," 288202"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.394,"FLUDIOXONIL "," 71503"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.183,"POLYOXIN D ZINC SALT "," 230000"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.23,"PYRACLOSTROBIN "," 99100"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.056,"TETRACONAZOLE "," 120603"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.815,"THIOPHANATE-METHYL "," 102001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",5.029,"THIRAM "," 79801"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","HERBICIDE",0.099,"FLUMIOXAZIN "," 129034"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","HERBICIDE",0.388,"OXYFLUORFEN "," 111601"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.025,"ABAMECTIN "," 122804"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.184,"ACETAMIPRID "," 99050"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.048,"AZADIRACHTIN "," 121701"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.872,"BIFENAZATE "," 586"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.191,"BIFENTHRIN "," 128825"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.107,"CHLORANTRANILIPROLE "," 90100"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.245,"FLUPYRADIFURONE "," 122304"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.253,"HEXYTHIAZOX "," 128849"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.168,"NOVALURON "," 124002"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.067,"PYRETHRINS "," 69001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.117,"SPINETORAM "," 110007"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.126,"SPINOSAD "," 110003"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.088,"THIAMETHOXAM "," 60109"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",0.186,"FLUTRIAFOL "," 128940"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",4.631,"HYDROGEN PEROXIDE "," 595"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.1,"AZOXYSTROBIN "," 128810"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.4,"BOSCALID "," 128008"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",8.6,"CAPTAN "," 81301"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.3,"CYFLUFENAMID "," 555550"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.8,"CYPRODINIL "," 288202"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.8,"FLUDIOXONIL "," 71503"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.9,"POLYOXIN D ZINC SALT "," 230000"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.3,"PYRACLOSTROBIN "," 99100"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.5,"TETRACONAZOLE "," 120603"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.2,"THIOPHANATE-METHYL "," 102001"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",2.3,"THIRAM "," 79801"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","HERBICIDE",1.2,"FLUMIOXAZIN "," 129034"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","HERBICIDE",1.3,"OXYFLUORFEN "," 111601"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.4,"ABAMECTIN "," 122804"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.3,"ACETAMIPRID "," 99050"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.6,"AZADIRACHTIN "," 121701"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.7,"BIFENAZATE "," 586"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.6,"BIFENTHRIN "," 128825"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.6,"CHLORANTRANILIPROLE "," 90100"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.4,"FLUPYRADIFURONE "," 122304"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.2,"HEXYTHIAZOX "," 128849"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",2.2,"NOVALURON "," 124002"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.6,"PYRETHRINS "," 69001"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.5,"SPINETORAM "," 110007"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.3,"SPINOSAD "," 110003"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.4,"THIAMETHOXAM "," 60109"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","OTHER",1.6,"FLUTRIAFOL "," 128940"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","OTHER",2,"HYDROGEN PEROXIDE "," 595"
2021,"YEAR","FLORIDA","12","LB","INSECTICIDE",700,"SPINETORAM "," 110007"
2021,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","FUNGICIDE",2.025,"CAPTAN "," 81301"
2021,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.294,"CYPRODINIL "," 288202"
2021,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.189,"FLUDIOXONIL "," 71503"
2021,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","FUNGICIDE",2.38,"THIRAM "," 79801"
2021,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.017,"ABAMECTIN "," 122804"
2021,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.072,"NOVALURON "," 124002"
2021,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.069,"SPINETORAM "," 110007"
2021,"YEAR","FLORIDA","12","LB / ACRE / YEAR, AVG","FUNGICIDE",21.339,"CAPTAN "," 81301"
2021,"YEAR","FLORIDA","12","LB / ACRE / YEAR, AVG","FUNGICIDE",0.816,"CYPRODINIL "," 288202"
2021,"YEAR","FLORIDA","12","LB / ACRE / YEAR, AVG","FUNGICIDE",0.652,"FLUDIOXONIL "," 71503"
2021,"YEAR","FLORIDA","12","LB / ACRE / YEAR, AVG","FUNGICIDE",22.509,"THIRAM "," 79801"
2021,"YEAR","FLORIDA","12","LB / ACRE / YEAR, AVG","INSECTICIDE",0.037,"ABAMECTIN "," 122804"
2021,"YEAR","FLORIDA","12","LB / ACRE / YEAR, AVG","INSECTICIDE",0.187,"NOVALURON "," 124002"
2021,"YEAR","FLORIDA","12","LB / ACRE / YEAR, AVG","INSECTICIDE",0.124,"SPINETORAM "," 110007"
2021,"YEAR","FLORIDA","12","NUMBER, AVG","FUNGICIDE",10.5,"CAPTAN "," 81301"
2021,"YEAR","FLORIDA","12","NUMBER, AVG","FUNGICIDE",2.8,"CYPRODINIL "," 288202"
2021,"YEAR","FLORIDA","12","NUMBER, AVG","FUNGICIDE",3.4,"FLUDIOXONIL "," 71503"
2021,"YEAR","FLORIDA","12","NUMBER, AVG","FUNGICIDE",9.5,"THIRAM "," 79801"
2021,"YEAR","FLORIDA","12","NUMBER, AVG","INSECTICIDE",2.1,"ABAMECTIN "," 122804"
2021,"YEAR","FLORIDA","12","NUMBER, AVG","INSECTICIDE",2.6,"NOVALURON "," 124002"
2021,"YEAR","FLORIDA","12","NUMBER, AVG","INSECTICIDE",1.8,"SPINETORAM "," 110007"
2019,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",400,"CYFLUFENAMID "," 555550"
2019,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",600,"TETRACONAZOLE "," 120603"
2019,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",500,"ABAMECTIN "," 122804"
2019,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",800,"AZADIRACHTIN "," 121701"
2019,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",200,"PYRETHRINS "," 69001"
2019,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",600,"SPINOSAD "," 110003"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.205,"AZOXYSTROBIN "," 128810"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.337,"BOSCALID "," 128008"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",1.739,"CAPTAN "," 81301"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.023,"CYFLUFENAMID "," 555550"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.32,"CYPRODINIL "," 288202"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.213,"FLUDIOXONIL "," 71503"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",3.997,"FOSETYL-AL "," 123301"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.073,"POLYOXIN D ZINC SALT "," 230000"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.169,"PYRACLOSTROBIN "," 99100"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.039,"TETRACONAZOLE "," 120603"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.669,"THIOPHANATE-METHYL "," 102001"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",2.219,"THIRAM "," 79801"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","HERBICIDE",0.089,"FLUMIOXAZIN "," 129034"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","HERBICIDE",0.313,"OXYFLUORFEN "," 111601"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.019,"ABAMECTIN "," 122804"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.126,"ACETAMIPRID "," 99050"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.034,"AZADIRACHTIN "," 121701"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.496,"BIFENAZATE "," 586"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.109,"BIFENTHRIN "," 128825"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.067,"CHLORANTRANILIPROLE "," 90100"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.135,"ETOXAZOLE "," 107091"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.158,"FLUPYRADIFURONE "," 122304"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.177,"HEXYTHIAZOX "," 128849"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.059,"NOVALURON "," 124002"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.044,"PYRETHRINS "," 69001"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.068,"SPINETORAM "," 110007"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.093,"SPINOSAD "," 110003"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.062,"THIAMETHOXAM "," 60109"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",0.112,"FLUTRIAFOL "," 128940"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.447,"AZOXYSTROBIN "," 128810"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.508,"BOSCALID "," 128008"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",10.456,"CAPTAN "," 81301"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.034,"CYFLUFENAMID "," 555550"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.765,"CYPRODINIL "," 288202"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.51,"FLUDIOXONIL "," 71503"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",18.136,"FOSETYL-AL "," 123301"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.149,"POLYOXIN D ZINC SALT "," 230000"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.317,"PYRACLOSTROBIN "," 99100"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.058,"TETRACONAZOLE "," 120603"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",1.041,"THIOPHANATE-METHYL "," 102001"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",5.064,"THIRAM "," 79801"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","HERBICIDE",0.217,"FLUMIOXAZIN "," 129034"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","HERBICIDE",0.428,"OXYFLUORFEN "," 111601"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.04,"ABAMECTIN "," 122804"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.182,"ACETAMIPRID "," 99050"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.091,"AZADIRACHTIN "," 121701"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.978,"BIFENAZATE "," 586"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.346,"BIFENTHRIN "," 128825"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.119,"CHLORANTRANILIPROLE "," 90100"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.581,"ETOXAZOLE "," 107091"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.399,"FLUPYRADIFURONE "," 122304"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.269,"HEXYTHIAZOX "," 128849"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.192,"NOVALURON "," 124002"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.074,"PYRETHRINS "," 69001"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.108,"SPINETORAM "," 110007"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.113,"SPINOSAD "," 110003"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.164,"THIAMETHOXAM "," 60109"
2019,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",0.188,"FLUTRIAFOL "," 128940"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",2.2,"AZOXYSTROBIN "," 128810"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.5,"BOSCALID "," 128008"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",2.6,"BT SUBSP KURSTAKI EVB-113-19 "," 6544"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",6,"CAPTAN "," 81301"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.5,"CYFLUFENAMID "," 555550"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",2.4,"CYPRODINIL "," 288202"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",2.4,"FLUDIOXONIL "," 71503"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",4.5,"FOSETYL-AL "," 123301"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",2.1,"POLYOXIN D ZINC SALT "," 230000"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.9,"PYRACLOSTROBIN "," 99100"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.5,"TETRACONAZOLE "," 120603"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.6,"THIOPHANATE-METHYL "," 102001"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",2.3,"THIRAM "," 79801"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","HERBICIDE",2.4,"FLUMIOXAZIN "," 129034"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","HERBICIDE",1.4,"OXYFLUORFEN "," 111601"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",2.2,"ABAMECTIN "," 122804"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.4,"ACETAMIPRID "," 99050"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",2.7,"AZADIRACHTIN "," 121701"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",2,"BIFENAZATE "," 586"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",3.2,"BIFENTHRIN "," 128825"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.6,"BT SUB AIZAWAI GC-91 "," 6426"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.7,"BURKHOLDERIA A396 CELLS & MEDIA "," 6534"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.8,"CHLORANTRANILIPROLE "," 90100"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",4.3,"ETOXAZOLE "," 107091"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",2.5,"FLUPYRADIFURONE "," 122304"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.5,"HEXYTHIAZOX "," 128849"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",3.2,"NOVALURON "," 124002"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.7,"PYRETHRINS "," 69001"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.6,"SPINETORAM "," 110007"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",1.2,"SPINOSAD "," 110003"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","INSECTICIDE",2.7,"THIAMETHOXAM "," 60109"
2019,"YEAR","CALIFORNIA","06","NUMBER, AVG","OTHER",1.7,"FLUTRIAFOL "," 128940"
2019,"YEAR","FLORIDA","12","LB","INSECTICIDE",300,"ABAMECTIN "," 122804"
2019,"YEAR","FLORIDA","12","LB","INSECTICIDE",200,"ACETAMIPRID "," 99050"
2019,"YEAR","FLORIDA","12","LB","INSECTICIDE",700,"BIFENAZATE "," 586"
2019,"YEAR","FLORIDA","12","LB","INSECTICIDE",300,"BIFENTHRIN "," 128825"
2019,"YEAR","FLORIDA","12","LB","INSECTICIDE",100,"CHLORANTRANILIPROLE "," 90100"
2019,"YEAR","FLORIDA","12","LB","INSECTICIDE",600,"SPINETORAM "," 110007"
2019,"YEAR","FLORIDA","12","LB","INSECTICIDE",100,"THIAMETHOXAM "," 60109"
2019,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.858,"AZOXYSTROBIN "," 128810"
2019,"YEAR","FLORIDA","12","LB / ACRE / APPLICATION, AVG","FUNGICIDE",2.098,"CAPTAN "," 81301"
